Study_ID,Author,Year,Source,StudyID,Effect_size_ID,Latitude,Longitude,Abs_lat,Region,Region2,Country,Duration_days,Duration,Shared_first_author,Factor,Stressor,Calcifier,BiologicalResponses,TrophicLevel,Trophic_level,DependentVariable,CalculatedUnit,Species,Phyla,Class,Type,LifeStage,share_organism,Nc,Ne,Xc,Xe,Sc,Se,yi,vi,Main_effect,variance,ci,lci,uci,int_direction,int_type
2,Byrne M et al,2011,Fig 3a,"Byrne M et al, 2011",11a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,temp,OW,y,development,herbivore,herbivore,Calcification,% of normal juveniles,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,embryo,"Byrne, M et al,_2011_Heliocidaris erythrogramma",6,6,0.45755,0.14676,0.1797,0.0952,-1.137087569,0.095838519,-0.849735021,0.055101656,0.187829054,-1.037564075,-0.661905967,NA,NA
2,Byrne M et al,2011,Fig 3a,"Byrne M et al, 2011",12a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,pH+temp,interaction,y,development,herbivore,herbivore,Calcification,% of normal juveniles,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,embryo,"Byrne, M et al,_2011_Heliocidaris erythrogramma",6,6,0.45755,0.10791,0.1797,0.074,0.890189845,0.222049491,0.890189845,0.222049491,0.37705555,0.513134295,1.267245395,neg,ant
2,Byrne M et al,2011,Fig 3b,"Byrne M et al, 2011",13a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,pH,OA,y,development,herbivore,herbivore,Calcification,"Log transformed for norm dist, no, of spines",Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,embryo,"Byrne, M et al,_2011_Heliocidaris erythrogramma",6,6,13.448,7.018,2.7263,1.8175,-0.650352119,0.018028017,-0.442133154,0.013421485,0.092700213,-0.534833367,-0.349432941,NA,NA
2,Byrne M et al,2011,Fig 3b,"Byrne M et al, 2011",14a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,temp,OW,y,development,herbivore,herbivore,Calcification,"Log transformed for norm dist, no, of spines",Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,embryo,"Byrne, M et al,_2011_Heliocidaris erythrogramma",6,6,13.448,8.008,2.7263,2.7263,-0.518389354,0.026167209,-0.325557718,0.014421575,0.096091903,-0.421649621,-0.229465815,NA,NA
2,Byrne M et al,2011,Fig 3b,"Byrne M et al, 2011",15a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,pH+temp,interaction,y,development,herbivore,herbivore,Calcification,"Log transformed for norm dist, no, of spines",Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,embryo,"Byrne, M et al,_2011_Heliocidaris erythrogramma",6,6,13.448,6.771,2.7263,2.4225,0.482559863,0.058679305,0.482559863,0.058679305,0.193830862,0.288729001,0.676390725,neg,ant
3,Gooding R A et al,2009,Fig 2,"Gooding R A et al, 2009",16a,48.8471,-124.9767,48.8471,Temperate,Temperate,Canada,70,long,Gooding RA,pH,OA,y,growth,meso-predator,predator,Growth,Relative % growth,Pisaster ochraceus,Echinodermata,Asteroidea,seastar,juvenile,"Gooding, R, A et al,_2009_Pisaster ochraceus",5,6,1.41007,1.92806,0.3217,0.3524,0.312874967,0.015977748,0.306586913,0.024724065,0.125817307,0.180769606,0.43240422,NA,NA
3,Gooding R A et al,2009,Fig 2,"Gooding R A et al, 2009",17a,48.8471,-124.9767,48.8471,Temperate,Temperate,Canada,70,long,Gooding RA,temp,OW,y,growth,meso-predator,predator,Growth,Relative % growth,Pisaster ochraceus,Echinodermata,Asteroidea,seastar,juvenile,"Gooding, R, A et al,_2009_Pisaster ochraceus",5,6,1.41007,2.35971,0.3217,1.0221,0.514899382,0.041679308,0.509098616,0.01805848,0.10752787,0.401570746,0.616626486,NA,NA
3,Gooding R A et al,2009,Fig 2,"Gooding R A et al, 2009",18a,48.8471,-124.9767,48.8471,Temperate,Temperate,Canada,70,long,Gooding RA,pH+temp,interaction,y,growth,meso-predator,predator,Growth,Relative % growth,Pisaster ochraceus,Echinodermata,Asteroidea,seastar,juvenile,"Gooding, R, A et al,_2009_Pisaster ochraceus",5,5,1.41007,3.19424,0.3217,1.1583,-0.01006451,0.073545921,-0.01006451,0.073545921,0.237711594,-0.247776104,0.227647084,pos,add
3,Gooding R A et al,2009,Fig 4,"Gooding R A et al, 2009",19a,48.8471,-124.9767,48.8471,Temperate,Temperate,Canada,70,long,Gooding RA,pH,OA,y,calcification,meso-predator,predator,Calcification,Mean proportion of calcified mass in wet weight,Pisaster ochraceus,Echinodermata,Asteroidea,seastar,juvenile,"Gooding, R, A et al,_2009_Pisaster ochraceus",5,6,0.12232,0.10954,0.0054,0.0176,-0.110350782,0.004692359,-0.056696781,0.002085603,0.036542333,-0.093239114,-0.020154448,NA,NA
3,Gooding R A et al,2009,Fig 4,"Gooding R A et al, 2009",20a,48.8471,-124.9767,48.8471,Temperate,Temperate,Canada,70,long,Gooding RA,temp,OW,y,calcification,meso-predator,predator,Calcification,Mean proportion of calcified mass in wet weight,Pisaster ochraceus,Echinodermata,Asteroidea,seastar,juvenile,"Gooding, R, A et al,_2009_Pisaster ochraceus",5,6,0.12232,0.10954,0.0054,0.0117,-0.110350782,0.002291189,-0.056696781,0.002021251,0.035974152,-0.092670933,-0.020722629,NA,NA
3,Gooding R A et al,2009,Fig 4,"Gooding R A et al, 2009",21a,48.8471,-124.9767,48.8471,Temperate,Temperate,Canada,70,long,Gooding RA,pH+temp,interaction,y,calcification,meso-predator,predator,Calcification,Mean proportion of calcified mass in wet weight,Pisaster ochraceus,Echinodermata,Asteroidea,seastar,juvenile,"Gooding, R, A et al,_2009_Pisaster ochraceus",5,5,0.12232,0.10954,0.0054,0.0107,0.110350782,0.00850209,0.110350782,0.00850209,0.080822805,0.029527977,0.191173587,neg,ant
4,Fu F-X et al,2008,Fig 1a,"Fu F-X et al, 2008",22a,34.02,-118.28,34.02,Temperate,Sub-tropical,USA,3,short,Fu Feixue,pCO2,OA,n,growth,primary producer,primary producer,Growth rate,Average cell number day^-1,Heterosigma akashiwo,Ochrophyta,Raphidophyceae,microalgae,NA,"Fu, F,-X et al,_2008_Heterosigma akashiwo",3,3,0.558,0.763,0.074,0.07,0.312899069,0.008667978,0.162092482,0.003497895,0.06692661,0.095165872,0.229019092,NA,NA
4,Fu F-X et al,2008,Fig 1a,"Fu F-X et al, 2008",23a,34.02,-118.28,34.02,Temperate,Sub-tropical,USA,3,short,Fu Feixue,temp,OW,n,growth,primary producer,primary producer,Growth rate,Average cell number day^-1,Heterosigma akashiwo,Ochrophyta,Raphidophyceae,microalgae,NA,"Fu, F,-X et al,_2008_Heterosigma akashiwo",3,3,0.558,0.732,0.074,0.07,0.271421552,0.008910642,0.117698921,0.003461335,0.066575933,0.051122988,0.184274854,NA,NA
4,Fu F-X et al,2008,Fig 1a,"Fu F-X et al, 2008",24a,34.02,-118.28,34.02,Temperate,Sub-tropical,USA,3,short,Fu Feixue,pCO2+temp,interaction,n,growth,primary producer,primary producer,Growth rate,Average cell number day^-1,Heterosigma akashiwo,Ochrophyta,Raphidophyceae,microalgae,NA,"Fu, F,-X et al,_2008_Heterosigma akashiwo",3,3,0.558,0.754,0.074,0.07,-0.283287215,0.014589219,-0.283287215,0.014589219,0.136682044,-0.419969259,-0.146605171,pos,ant
4,Fu F-X et al,2008,Fig 1b,"Fu F-X et al, 2008",25a,34.02,-118.28,34.02,Temperate,Sub-tropical,USA,3,short,Fu Feixue,pCO2,OA,n,growth,primary producer,primary producer,Growth rate,Average cell number day^-1,Prorocentrum minimum,Myzozoa,Dinophyceae,microalgae,NA,"Fu, F,-X et al,_2008_Prorocentrum minimum",3,3,0.539,0.622,0.042,0.08,0.143224522,0.007538092,0.066926378,0.002807354,0.059957571,0.006968807,0.126883949,NA,NA
4,Fu F-X et al,2008,Fig 1b,"Fu F-X et al, 2008",26a,34.02,-118.28,34.02,Temperate,Sub-tropical,USA,3,short,Fu Feixue,temp,OW,n,growth,primary producer,primary producer,Growth rate,Average cell number day^-1,Prorocentrum minimum,Myzozoa,Dinophyceae,microalgae,NA,"Fu, F,-X et al,_2008_Prorocentrum minimum",3,3,0.539,0.559,0.042,0.052,0.036433902,0.004908392,-0.044021192,0.002776143,0.059623348,-0.10364454,0.015602156,NA,NA
4,Fu F-X et al,2008,Fig 1b,"Fu F-X et al, 2008",27a,34.02,-118.28,34.02,Temperate,Sub-tropical,USA,3,short,Fu Feixue,pCO2+temp,interaction,n,growth,primary producer,primary producer,Growth rate,Average cell number day^-1,Prorocentrum minimum,Myzozoa,Dinophyceae,microalgae,NA,"Fu, F,-X et al,_2008_Prorocentrum minimum",3,3,0.539,0.552,0.042,0.01,-0.155825949,0.01053193,-0.155825949,0.01053193,0.116131337,-0.271957286,-0.039694612,pos,ant
5,Anthony K R N et al,2008,Fig 1c,"Anthony K R N et al, 2008",28a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,pCO2,OA,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Porolithon onkodes,Rhodophyta,Florideophyceae,macroalgae,NA,"Anthony, K, R, N, et al,_2008_Porolithon onkodes",15,15,5.547,2.402,0.8273,0.8273,-0.836955517,0.009391325,-1.452129424,0.019979449,0.071532301,-1.523661725,-1.380597123,NA,NA
5,Anthony K R N et al,2008,Fig 1c,"Anthony K R N et al, 2008",29a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,temp,OW,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Porolithon onkodes,Rhodophyta,Florideophyceae,macroalgae,NA,"Anthony, K, R, N, et al,_2008_Porolithon onkodes",15,15,5.547,6.287,0.8273,0.8273,0.125226768,0.0026373,-0.177677683,0.00479271,0.035034911,-0.212712594,-0.142642772,NA,NA
5,Anthony K R N et al,2008,Fig 1c,"Anthony K R N et al, 2008",30a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,pCO2+temp,interaction,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Porolithon onkodes,Rhodophyta,Florideophyceae,macroalgae,NA,"Anthony, K, R, N, et al,_2008_Porolithon onkodes",15,15,5.547,0.368,0.8273,1.241,-2.001200833,0.768698369,-2.001200833,0.768698369,0.443698971,-2.444899804,-1.557501862,neg,syn
5,Anthony K R N et al,2008,Fig 1f,"Anthony K R N et al, 2008",31a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,pCO2,OA,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Acropora intermedia,Cnidaria,Anthozoa,coral,NA,"Anthony, K, R, N, et al,_2008_Acropora intermedia",15,15,11.951,8.501,1.6234,1.2187,-0.340631153,0.002600263,-0.386132284,0.001637702,0.020479902,-0.406612186,-0.365652382,NA,NA
5,Anthony K R N et al,2008,Fig 1f,"Anthony K R N et al, 2008",32a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,temp,OW,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Acropora intermedia,Cnidaria,Anthozoa,coral,NA,"Anthony, K, R, N, et al,_2008_Acropora intermedia",15,15,11.951,9.59,1.6234,2.0303,-0.220094068,0.004218209,-0.26251096,0.001944909,0.022318247,-0.284829207,-0.240192713,NA,NA
5,Anthony K R N et al,2008,Fig 1f,"Anthony K R N et al, 2008",33a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,pCO2+temp,interaction,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Acropora intermedia,Cnidaria,Anthozoa,coral,NA,"Anthony, K, R, N, et al,_2008_Acropora intermedia",15,15,11.951,6.14,1.6234,0.8117,-0.105264993,0.006753441,-0.105264993,0.006753441,0.041588475,-0.146853468,-0.063676518,neg,syn
5,Anthony K R N et al,2008,Fig 1i,"Anthony K R N et al, 2008",34a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,pCO2,OA,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Porites lobata,Cnidaria,Anthozoa,coral,NA,"Anthony, K, R, N, et al,_2008_Porites lobata",15,15,11.951,7.229,2.842,2.0303,-0.502714243,0.009028692,-0.329362738,0.004889362,0.035386413,-0.364749151,-0.293976325,NA,NA
5,Anthony K R N et al,2008,Fig 1i,"Anthony K R N et al, 2008",35a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,temp,OW,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Porites lobata,Cnidaria,Anthozoa,coral,NA,"Anthony, K, R, N, et al,_2008_Porites lobata",15,15,11.951,9.409,2.842,2.4373,-0.239148279,0.008243482,-0.089042066,0.004783512,0.035001276,-0.124043342,-0.05404079,NA,NA
5,Anthony K R N et al,2008,Fig 1i,"Anthony K R N et al, 2008",36a,-27.4987,153.0135,27.4987,Temperate,Sub-tropical,Australia,56,long,Anthony KRN,pCO2+temp,interaction,y,calcification,primary producer,primary producer,Calcification,% weight increase per month,Porites lobata,Cnidaria,Anthozoa,coral,NA,"Anthony, K, R, N, et al,_2008_Porites lobata",15,15,11.951,8.137,2.842,2.4373,0.357469127,0.019483448,0.357469127,0.019483448,0.070638806,0.286830321,0.428107933,neg,ant
6,Reynaud S et al,2003,Fig 3,"Reynaud S et al, 2003",37a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,35,long,Reynaud S,pCO2,OA,y,metabolism,primary producer,primary producer,Rate of respiration,_mol O2 produced per protein per hour^-1,Stylophora pistillata,Cnidaria,Anthozoa,coral,NA,"Reynaud, S, et al,_2003_Stylophora pistillata",5,5,0.663,0.612,0.0783,0.0783,-0.080042708,0.00606329,-0.089074774,0.00334341,0.050683417,-0.139758191,-0.038391357,NA,NA
6,Reynaud S et al,2003,Fig 3,"Reynaud S et al, 2003",38a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,35,long,Reynaud S,temp,OW,y,metabolism,primary producer,primary producer,Rate of respiration,_mol O2 produced per protein per hour^-1,Stylophora pistillata,Cnidaria,Anthozoa,coral,NA,"Reynaud, S, et al,_2003_Stylophora pistillata",5,5,0.663,0.616,0.0783,0.0693,-0.073528027,0.005320751,0.082529457,0.00330883,0.050420633,0.032108824,0.13295009,NA,NA
6,Reynaud S et al,2003,Fig 3,"Reynaud S et al, 2003",39a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,35,long,Reynaud S,pCO2+temp,interaction,y,metabolism,primary producer,primary producer,Rate of respiration,_mol O2 produced per protein per hour^-1,Stylophora pistillata,Cnidaria,Anthozoa,coral,NA,"Reynaud, S, et al,_2003_Stylophora pistillata",5,5,0.663,0.558,0.0783,0.0872,-0.018845293,0.013478752,-0.018845293,0.013478752,0.101764408,-0.120609701,0.082919115,neg,add
6,Reynaud S et al,2003,Fig 4,"Reynaud S et al, 2003",40a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,35,long,Reynaud S,pCO2,OA,y,calcification,primary producer,primary producer,Calcification rate,% change in dry weight per day,Stylophora pistillata,Cnidaria,Anthozoa,coral,NA,"Reynaud, S, et al,_2003_Stylophora pistillata",5,5,0.412,0.433,0.0604,0.0604,0.049714379,0.008190025,-0.339396215,0.00422089,0.056947293,-0.396343508,-0.282448922,NA,NA
6,Reynaud S et al,2003,Fig 4,"Reynaud S et al, 2003",41a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,35,long,Reynaud S,temp,OW,y,calcification,primary producer,primary producer,Calcification rate,% change in dry weight per day,Stylophora pistillata,Cnidaria,Anthozoa,coral,NA,"Reynaud, S, et al,_2003_Stylophora pistillata",5,5,0.412,0.547,0.0604,0.0537,0.283425453,0.006225968,-0.058481949,0.003859616,0.054455672,-0.112937621,-0.004026277,NA,NA
6,Reynaud S et al,2003,Fig 4,"Reynaud S et al, 2003",42a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,35,long,Reynaud S,pCO2+temp,interaction,y,calcification,primary producer,primary producer,Calcification rate,% change in dry weight per day,Stylophora pistillata,Cnidaria,Anthozoa,coral,NA,"Reynaud, S, et al,_2003_Stylophora pistillata",5,5,0.412,0.25,0.0604,0.0537,-0.832702263,0.019345375,-0.832702263,0.019345375,0.121915703,-0.954617966,-0.71078656,pos,ant
7,Brennand H S et al,2010,Fig 2,"Brennand H S et al, 2010",43a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,pH,OA,y,development,herbivore,herbivore,Normal larvae,% of normal larvae,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,78.236,61.667,10.2503,12.2993,-0.237980958,0.018981584,-0.388665127,0.02385616,0.174781601,-0.563446728,-0.213883526,NA,NA
7,Brennand H S et al,2010,Fig 2,"Brennand H S et al, 2010",44a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,temp,OW,y,development,herbivore,herbivore,Normal larvae,% of normal larvae,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,78.236,33.853,10.2503,15.3754,-0.837702278,0.0744821,-1.06604684,0.053403936,0.261506253,-1.327553093,-0.804540587,NA,NA
7,Brennand H S et al,2010,Fig 2,"Brennand H S et al, 2010",45a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,pH+temp,interaction,y,development,herbivore,herbivore,Normal larvae,% of normal larvae,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,78.236,14.325,10.2503,10.2503,-0.622040401,0.258413947,-0.622040401,0.258413947,0.57524575,-1.197286151,-0.046794651,neg,syn
7,Brennand H S et al,2010,Fig 4a,"Brennand H S et al, 2010",46a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,pH,OA,y,growth,herbivore,herbivore,Mean post oral arm lenght,Larval growth,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,139.198,111.142,13.2537,11.0453,-0.225088717,0.006314081,-0.239014384,0.001788183,0.047852147,-0.286866531,-0.191162237,NA,NA
7,Brennand H S et al,2010,Fig 4a,"Brennand H S et al, 2010",47a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,temp,OW,y,growth,herbivore,herbivore,Mean post oral arm lenght,Larval growth,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,139.198,178.733,13.2537,6.6268,0.249995692,0.003480171,0.239014384,0.001985446,0.050422513,0.188591871,0.289436897,NA,NA
7,Brennand H S et al,2010,Fig 4a,"Brennand H S et al, 2010",48a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,pH+temp,interaction,y,growth,herbivore,herbivore,Mean post oral arm lenght,Larval growth,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,139.198,139.198,13.2537,8.8352,-0.024906975,0.00811521,-0.024906975,0.00811521,0.101940163,-0.126847138,0.077033188,pos,add
7,Brennand H S et al,2010,Fig 4b,"Brennand H S et al, 2010",49a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,pH,OA,y,calcification,herbivore,herbivore,Total length of calcite rods,Mean total lenght of calcite rods,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,381.46,310.954,33.3056,22.2032,-0.204361005,0.004240548,-0.217361737,0.001226876,0.039636544,-0.256998281,-0.177725193,NA,NA
7,Brennand H S et al,2010,Fig 4b,"Brennand H S et al, 2010",50a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,temp,OW,y,calcification,herbivore,herbivore,Total length of calcite rods,Mean total lenght of calcite rods,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,381.46,455.17,33.3056,16.6519,0.17666498,0.00298719,0.165945752,0.001390649,0.042199199,0.123746553,0.208144951,NA,NA
7,Brennand H S et al,2010,Fig 4b,"Brennand H S et al, 2010",51a,56.125,10.3465,56.125,Temperate,Temperate,Germany,5,short,Brennand H S,pH+temp,interaction,y,calcification,herbivore,herbivore,Total length of calcite rods,Mean total lenght of calcite rods,Tripneustes gratilla,Echinodermata,Echinoidea,sea urchin,larvae,"Brennand, H, S, et al,_2010_Tripneustes gratilla",3,3,381.46,362.231,33.3056,16.6519,-0.024027841,0.005391101,-0.024027841,0.005391101,0.08308721,-0.107115051,0.059059369,neg,add
8,Lacoue-Labarthe T et al,2009,Fig 1a,"Lacoue-Labarthe T et al, 2009",52a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,27,short,Lacoue-Labarthe T,pCO2,OA,y,reproduction,meso-predator,predator,Weight,Weight of eggs,Sepia officinalis,Mollusca,Cephalopoda,cuttlefish,egg,"Lacoue-Labarthe, T, et al,_2009_Sepia officinalis",10,10,1.143,1.558,0.3988,0.1794,0.309746563,0.013499464,0.222522581,0.002626828,0.031766685,0.190755896,0.254289266,NA,NA
8,Lacoue-Labarthe T et al,2009,Fig 1a,"Lacoue-Labarthe T et al, 2009",53a,43.7329,7.4255,43.7329,Temperate,Temperate,Monaco,27,short,Lacoue-Labarthe T,temp,OW,y,reproduction,meso-predator,predator,Weight,Weight of eggs,Sepia officinalis,Mollusca,Cephalopoda,cuttlefish,egg,"Lacoue-Labarthe, T, et al,_2009_Sepia officinalis",10,10,1.143,1.5955,0.3988,0.0912,0.333530782,0.012500302,0.247212894,0.002808316,0.032845741,0.214367153,0.280058635,NA,NA
